giornata,team_1,team_2
30,Aston Birra,Hortomusismo FC
30,Associazione Calcio Frankental,Bollito misto
30,Football Club Internazionale Frankental,US Teria
30,Schroedingers Cats,Citizens Kane
32,Canagliari,Associazione Calcio Frankental
32,Aston Birra,Football Club Internazionale Frankental
32,Hortomusismo FC,Schroedingers Cats
32,Bayern Minchien,Bollito misto
32,Citizens Kane,US Teria
34,Citizens Kane,Canagliari
34,US Teria,Aston Birra
34,Bollito misto,Hortomusismo FC
34,Bayern Minchien,Associazione Calcio Frankental
34,Schroedingers Cats,Football Club Internazionale Frankental
36,Football Club Internazionale Frankental,Citizens Kane
36,Bayern Minchien,Hortomusismo FC
36,Schroedingers Cats,Aston Birra
36,Bollito misto,Canagliari
36,US Teria,Associazione Calcio Frankental
