"giornata","team_1","team_2"
23,"Aston Birra","Bollito misto"
23,"Football Club Internazionale Frankental","Schroedingers Cats"
23,"US Teria","Hortomusismo FC"
25,"25ª Giornata lega",
25,"Canagliari","Citizens Kane"
25,"Aston Birra","Schroedingers Cats"
25,"Football Club Internazionale Frankental","Associazione Calcio Frankental"
25,"US Teria","Bayern Minchien"
25,"Hortomusismo FC","Bollito misto"
27,"27ª Giornata lega",
27,"Aston Birra","Associazione Calcio Frankental"
27,"Football Club Internazionale Frankental","Canagliari"
27,"Bollito misto","Schroedingers Cats"
27,"US Teria","Citizens Kane"
27,"Hortomusismo FC","Bayern Minchien"
29,"29ª Giornata lega",
29,"Canagliari","Schroedingers Cats"
29,"Aston Birra","Citizens Kane"
29,"Bayern Minchien","US Teria"
29,"Bollito misto","Football Club Internazionale Frankental"
29,"Hortomusismo FC","Associazione Calcio Frankental"
31,"31ª Giornata lega",
31,"Hortomusismo FC","Canagliari"
31,"Bollito misto","Aston Birra"
31,"Associazione Calcio Frankental","Football Club Internazionale Frankental"
31,"Citizens Kane","Bayern Minchien"
31,"US Teria","Schroedingers Cats"
33,"33ª Giornata lega",
33,"Canagliari","Aston Birra"
33,"Football Club Internazionale Frankental","Hortomusismo FC"
33,"Bollito misto","US Teria"
33,"Associazione Calcio Frankental","Citizens Kane"
33,"Schroedingers Cats","Bayern Minchien"
35,"35ª Giornata lega",
35,"Canagliari","Football Club Internazionale Frankental"
35,"Citizens Kane","Bollito misto"
35,"Aston Birra","Bayern Minchien"
35,"Hortomusismo FC","US Teria"
35,"Associazione Calcio Frankental","Schroedingers Cats"
2,"2ª Giornata lega",
2,"Schroedingers Cats","Citizens Kane"
2,"Bollito misto","Football Club Internazionale Frankental"
2,"Canagliari","Associazione Calcio Frankental"
2,"Bayern Minchien","Aston Birra"
2,"Hortomusismo FC","US Teria"
4,"4ª Giornata lega",
4,"Schroedingers Cats","Bayern Minchien"
4,"Associazione Calcio Frankental","US Teria"
4,"Bollito misto","Citizens Kane"
4,"Canagliari","Football Club Internazionale Frankental"
4,"Hortomusismo FC","Aston Birra"
6,"6ª Giornata lega",
6,"Associazione Calcio Frankental","Aston Birra"
6,"Bollito misto","Bayern Minchien"
6,"Canagliari","US Teria"
6,"Hortomusismo FC","Schroedingers Cats"
6,"Football Club Internazionale Frankental","Citizens Kane"
8,"8ª Giornata lega",
8,"Citizens Kane","Canagliari"
8,"US Teria","Aston Birra"
8,"Associazione Calcio Frankental","Schroedingers Cats"
8,"Bollito misto","Hortomusismo FC"
8,"Football Club Internazionale Frankental","Bayern Minchien"
10,"10ª Giornata lega",
10,"US Teria","Hortomusismo FC"
10,"Aston Birra","Associazione Calcio Frankental"
10,"Bollito misto","Canagliari"
10,"Bayern Minchien","Citizens Kane"
10,"Football Club Internazionale Frankental","Schroedingers Cats"
12,"12ª Giornata lega",
